Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
swivl.ai,https://www.crunchbase.com/organization/swivl-af27,"Artificial Intelligence, IaaS, SaaS","Denver, Colorado, United States",Human + machine interface that scales customer experience teams by deploying Intelligent Assistants,150000,USD,150000,Seed,"7,554",2,https://www.linkedin.com/company/try-swivl/,https://www.tryswivl.com,"Mason Levy, Rodolfo Ramirez"
Rose Gold,https://www.crunchbase.com/organization/rose-gold,"Beauty, SaaS","Houston, Texas, United States",Rose Gold is a SaaS subscription platform for entrepreneurs to launch beauty based businesses.,150000,USD,150000,Seed,"18,124",1,,http://www.RoseGoldDropship.com,"Chanel Melton, Jennifer Drew"
Actiondesk,https://www.crunchbase.com/organization/actiondesk,"Information Services, Information Technology, SaaS, Software","Paris, Ile-de-France, France","Actiondesk (YC S19) is a spreadsheet software that lets you import and refresh data from SQL, Stripe, Salesforce, Hubspot and more",150000,USD,150000,Seed,"18,639",3,https://www.linkedin.com/company/actiondesk/,https://www.actiondesk.io/,"Jonathan Parisot, Pierre-Savinien Chabardes, Valentin Lehuger"
API Tracker,https://www.crunchbase.com/organization/apitracker,"Developer APIs, Information Technology, Software","Mountain View, California, United States",API Tracker is a software company that specializes in tracking and managing APIs.,150000,USD,150000,Seed,"19,483",1,https://www.linkedin.com/company/apitracker,https://apitracker.com/,"Cameron Cooper, Matt Hawkins, Trung Vu"
PostHog,https://www.crunchbase.com/organization/posthog,"Analytics, Open Source, Software, Software Engineering","San Francisco, California, United States",PostHog is an open-source product analytics for developers.,150000,USD,150000,Seed,"19,611",1,https://www.linkedin.com/company/posthog/,https://posthog.com,"James Hawkins, Tim Glaser"
Courier,https://www.crunchbase.com/organization/try-courier,"Developer APIs, Internet, Messaging, Software","San Francisco, California, United States",The smartest way to design & deliver your product's notifications.,150000,USD,150000,Seed,"20,246",2,https://www.linkedin.com/company/trycourier,https://www.trycourier.com,Troy Goode
Terusama,https://www.crunchbase.com/organization/terusama,"Autonomous Vehicles, Information Technology, Internet, Logistics, Operating Systems, SaaS, Software, Transportation, Warehousing","San Francisco, California, United States","Terusama is a virtual logistics coordinator that offers self-service dock scheduling, digital driver check-in, and automated workflows.",150000,USD,150000,Seed,"21,694",1,https://www.linkedin.com/company/terusama/,https://terusama.com,"Andrew Denta, Christopher Podlaski"
GuruHotel,https://www.crunchbase.com/organization/guruhotel,"Hospitality, Software, Vacation Rental","Mountain View, California, United States",A distribution ecosystem that connects with multiple hospitality-related technologies.,150000,USD,150000,Seed,"22,645",2,https://www.linkedin.com/company/guruhotel/,https://www.guruhotel.com/,"Jorge Flores, Josue Gio, Stiven Martinez"
InEvent,https://www.crunchbase.com/organization/inevent,"Apps, Enterprise Software, Event Management, Information Technology, Internet, SaaS","Mountain View, California, United States",Your event sales platform to drive more in-person customer relationships and personalized event experiences.,150000,USD,150000,Seed,"22,820",1,https://www.linkedin.com/company/inevent,https://inevent.com/,"Mauricio Giordano, Pedro Góes, Vinicius Neris"
ZeFi,https://www.crunchbase.com/organization/zefi,"Asset Management, Banking, Cryptocurrency, Debit Cards, Financial Services, FinTech, Software","San Francisco, California, United States",ZeFi develops a neobanking platform that provides a permission less financial ecosystem without a central authority.,150000,USD,150000,Seed,"23,607",1,https://www.linkedin.com/company/zefihq/,https://zefi.io,"MD Halim, Saurav Tomar"
Asayer,https://www.crunchbase.com/organization/asayer,"Developer Tools, Internet, Software","San Francisco, California, United States","Asayer is a frontend monitoring tool that helps developers reproduce bugs, aggregate errors and improve performance.",150000,USD,150000,Seed,"24,770",3,https://www.linkedin.com/company/18257552/,https://asayer.io,Mehdi Osman
GitStart,https://www.crunchbase.com/organization/murcul,"Enterprise Software, Mobile Apps, Software, Software Engineering, Web Development","Walnut, California, United States",The modern way to scale your tech team,150000,USD,150000,Seed,"25,135",2,https://www.linkedin.com/company/gitstart/,https://www.gitstart.com,Hamza Zia
Zumo Labs,https://www.crunchbase.com/organization/zumo-labs,"Artificial Intelligence, Big Data, Database, Machine Learning, Software","San Francisco, California, United States",Zumo Labs uses game engines to produce synthetic training data for computer vision models.,150000,USD,150000,Seed,"25,731",1,https://www.linkedin.com/company/zumolabs/,http://zumolabs.ai,"Elena Ponte, Hugo Ponte, Kory Stiger, Norman Ponte"
Geosite,https://www.crunchbase.com/organization/geosite-inc,"Geospatial, Internet of Things, Logistics, Mapping Services, Military, SaaS","Palo Alto, California, United States",Geosite is a cloud-based geospatial data marketplace with integrated spatial data management and collaboration.,150000,USD,150000,Seed,"25,923",1,https://www.linkedin.com/company/geositeplatform/,https://www.geosite.io/,Rachel Olney
KiKi,https://www.crunchbase.com/organization/kiki,"Apps, Consumer, Dating, E-Commerce, Marketplace, Mobile, Social, Social Network, Software","San Francisco, California, United States","KiKi is a social marketplace that allows its users to meet real people, buy, and share experiences whenever and wherever you please.",150000,USD,150000,Seed,"26,261",2,https://www.linkedin.com/company/kikiapp,https://kiki.social/,"Manel Hernandez Tomas, Ruben Juan Juan"
Jet Admin,https://www.crunchbase.com/organization/jet-admin,"Enterprise Software, SaaS, Software, Web Design, Web Development","San Francisco, California, United States","Jet Admin is a software company that manages and visualizes application data with dashboards, collections, and widgets.",150000,USD,150000,Seed,"27,972",1,https://www.linkedin.com/company/jet-admin/,http://jetadmin.io,"Anton Svetlov, Denis Kildishev"
Trimwire,https://www.crunchbase.com/organization/trimwire,"B2B, Financial Services, FinTech, Information Technology, SaaS","Mountain View, California, United States",Trimwire is a fintech platform that monitors spending and applies discounts to recurring expenses.,150000,USD,150000,Seed,"29,118",2,https://www.linkedin.com/company/trimwire,https://trimwire.com,"David Shi, Kevin Joo"
Windsor,https://www.crunchbase.com/organization/windsor-software,Software,"San Francisco, California, United States",Windsor is the platform to figure out who your users are and what they do,150000,USD,150000,Seed,"29,219",1,https://www.linkedin.com/company/35509373,https://windsor.io/,Pranay Prakash
Localyze,https://www.crunchbase.com/organization/localyze,"Information Technology, Internet, SaaS, Software","Hamburg, Hamburg, Germany",Localyze offers a software solution for relocation management.,150000,USD,150000,Seed,"29,419",3,https://www.linkedin.com/company/localyze/,https://www.localyze.de/,"Franziska Löw, Hanna Marie Asmussen, Lisa Dahlke"
Trestle,https://www.crunchbase.com/organization/trestle-28e0,"Business Intelligence, Information Technology, Internet, Search Engine, Software","San Francisco, California, United States","Trestle provides an intranet that includes company announcements, people search, customizable employee profiles, and team interfaces.",150000,USD,150000,Seed,"29,589",1,,https://www.ontrestle.com/,Rishab Hegde
Cortex,https://www.crunchbase.com/organization/cortex-98f5,"Document Management, Information Technology, Software","San Francisco, California, United States",Cortex is a software platform that manages and operates microservices.,150000,USD,150000,Seed,"29,791",1,https://www.linkedin.com/company/cortexapp,https://getcortexapp.com/,"Anish Dhar, Ganesh Datta, Nikhil Unni"
Snapboard,https://www.crunchbase.com/organization/snapboard-8104,"Apps, Software, Software Engineering, Web Apps","London, England, United Kingdom","Snapboard is a software house that allows users to manage and link apps and platforms in a single, customizable dashboard.",150000,USD,150000,Seed,"29,798",1,https://www.linkedin.com/company/20512302,https://snapboard.io,Calum Moore
Turing Labs,https://www.crunchbase.com/organization/turing-labs-inc,"Product Design, Product Management, SaaS, Software","New York, New York, United States",Turing is a research and development digital platform that improves speed-to-market for consumer goods.,150000,USD,150000,Seed,"30,984",1,,https://www.turingsaas.com/,"Ajith Govind, Manmit Shrimali"
Okay,https://www.crunchbase.com/organization/okay,"Business Intelligence, Developer Tools, Internet, Productivity Tools, Software","San Francisco, California, United States",Okay helps leaders run high-performing teams with dashboards and user-friendly workflows,150000,USD,150000,Seed,"31,914",1,https://www.linkedin.com/company/okayhq,https://www.okayhq.com/,"Antoine Boulanger, Tomas Barreto"
Heartex,https://www.crunchbase.com/organization/heartex,"Artificial Intelligence, Machine Learning, Software","San Francisco, California, United States",Heartex offers a data labeling and annotations tool for building accurate and smart AI products.,150000,USD,150000,Seed,"32,313",1,https://www.linkedin.com/company/heartex/,https://www.heartex.net/,"Maxim Tkachenko, Mikhail Malyuk, Nikolay Lyubimov"
Docket,https://www.crunchbase.com/organization/docket-4b3f,"Legal, Management Information Systems, SaaS, Software","San Francisco, California, United States",Docket is a system of record and workflow management SaaS for legal teams.,150000,USD,150000,Seed,"35,528",1,https://www.linkedin.com/company/getdocket/,https://www.getdocket.co/,Shreyas Gosalia
Visual One,https://www.crunchbase.com/organization/visual-one,"Artificial Intelligence, Computer Vision, Internet of Things, Software","San Francisco, California, United States",Visual One enables surveillance cameras to recognize specific events.,150000,USD,150000,Seed,"36,106",1,https://www.linkedin.com/company/visual-one/,https://www.visualone.tech/,Mohammad Rafiee
Preclusio,https://www.crunchbase.com/organization/preclusio,"Cyber Security, Privacy, Software","Redwood City, California, United States",Preclusio develops software that helps companies comply with privacy regulations.,150000,USD,150000,Seed,"40,735",1,https://www.linkedin.com/company/preclusio/,https://www.preclus.io/,"Heather Glenn Wade, John Wade"
PreFlight,https://www.crunchbase.com/organization/preflight,"Internet, Software","Chicago, Illinois, United States",PreFlight is an automated software testing in the browser.,150000,USD,150000,Seed,"41,397",1,https://www.linkedin.com/company/preflight/,https://preflight.com/,"Mustafa Bayramoglu, Patrick Johnson"
Kern Systems,https://www.crunchbase.com/organization/kern-systems,"Biotechnology, Life Science, Software","Brookline, Massachusetts, United States",Kern Systems leverages the power of enzymes and software to create the world's most scalable DNA data storage infrastructure.,150000,USD,150000,Seed,"42,752",1,,https://www.kernsystems.com/,"George Church, Henry Lee"
Wasmer,https://www.crunchbase.com/organization/wasmer,Software,"San Francisco, California, United States",Wasmer provides a way to execute WebAssembly files universally,150000,USD,150000,Seed,"43,229",1,https://www.linkedin.com/company/wasmerio,https://wasmer.io,Syrus Akbary
Bytez,https://www.crunchbase.com/organization/bytez,"Computer, Database, Information Technology, Software","New York, New York, United States",Bytez is a computer software startup that helps developers and data scientists work faster.,150000,USD,150000,Seed,"44,394",1,https://www.linkedin.com/company/bytez,https://bytez.io/,Nawar Alsafar
KubeSail,https://www.crunchbase.com/organization/kubesail,"Cloud Infrastructure, Software, Web Hosting","San Francisco, California, United States",Easy to use Kubernetes PaaS for individual developers and small teams!,150000,USD,150000,Seed,"46,550",1,,https://kubesail.com,"Dan Pastusek, Seandon Mooy"
Pengram,https://www.crunchbase.com/organization/pengram,"Augmented Reality, Computer Vision, iOS, Software","Berkeley, California, United States",Pengram provides indoor navigation to guide anyone in large buildings,150000,USD,150000,Seed,"48,395",1,https://www.linkedin.com/company/pengramar,https://www.pengramar.com,"Bill Zhou, Will Huang"
Nomad Rides,https://www.crunchbase.com/organization/nomad-7453,"Apps, Ride Sharing, Software, Travel","Carmel, Indiana, United States",Nomad Rides  is an application platform that provides commission-free ride-hailing service for drivers.,150000,USD,150000,Seed,"48,875",2,https://www.linkedin.com/company/nomadrides,http://www.nomadmoments.com/,"Daniel Jones, Michael McHugh"
Gold Fig Labs,https://www.crunchbase.com/organization/gold-fig-labs,Software,"San Francisco, California, United States",building a tool for version control on settings pages,150000,USD,150000,Seed,"50,668",1,,https://www.goldfiglabs.com/,"Greg Soltis, Vikrum Nijjar"
DevFlight,https://www.crunchbase.com/organization/devflight,"Marketplace, Software","Mountain View, California, United States",DevFlight is the business model for open-source software.,150000,USD,150000,Seed,"51,355",1,,https://devflight.com/,"Anthony Mastrorio, Victor Bordo"
Midtype,https://www.crunchbase.com/organization/midtype,"SaaS, Software","Pleasanton, California, United States",Midtype is a developer platform for building SaaS products.,150000,USD,150000,Seed,"51,979",1,https://www.linkedin.com/company/midtype/,https://www.midtype.com/,"Jay Patel, Nilkanth Patel"
ShipReality,https://www.crunchbase.com/organization/shipreality,Software,"Athens, Attiki, Greece",ShipReality is building Mixed Reality design automation software for the green energy transition in shipping,150000,USD,150000,Seed,"64,203",1,https://www.linkedin.com/company/18721970/admin/,http://www.shipreality.com/,"Alexandros Ginnis, Christos Papadopoulos, Georgios Bourtzos, Lambros Kaiktsis"
Promile.me,https://www.crunchbase.com/organization/promile-me,"Information Technology, Internet, Mobile, SaaS, Software","Milan, Lombardia, Italy","SaaS, online platform, interior design & architecture",130000,EUR,148999,Seed,"81,323",1,https://www.linkedin.com/company/promile-me/about/,http://promile.me/,"Kirill Starodubov, Maria Yaylenko, Natalia Mertsalova, Tatiana Minaeva"
Edudata.io,https://www.crunchbase.com/organization/edudata-io,"Analytics, EdTech, Education, Information Technology, Predictive Analytics, Software","Helsinki, Southern Finland, Finland","EDUDATA.IO connects, transforms and makes sense of educational organizations' own data.",130000,EUR,144059,Seed,"65,139",1,https://www.linkedin.com/company/edudata-io/,https://www.edudata.io/,Lauri Kaski
Horavision,https://www.crunchbase.com/organization/horavision,"Artificial Intelligence, Developer APIs, Developer Tools, Image Recognition, Machine Learning, SaaS, Software, Visual Search","Catania, Sicilia, Italy","We provide a video\image recognition and platform for developers with applications for retail analysis, smart city and data enrichment.",125000,EUR,141743,Seed,927,1,https://www.linkedin.com/company/26237793,https://www.hora-vision.com,"Antonio Sambataro, Davide Zagami"
ChainTrack Technologies Inc,https://www.crunchbase.com/organization/chaintrack-technologies-inc,Enterprise Software,"Vancouver, British Columbia, Canada",IoT-powered supply chain tracking platform,140000,USD,140000,Seed,"82,621",1,,https://chaintrack.ca,
BoxOfDocs,https://www.crunchbase.com/organization/boxofdocs,"Artificial Intelligence, GovTech, Information Technology, Machine Learning, SaaS, Software","Calgary, Alberta, Canada",BoxOfDocs is an AI enabled SaaS product that provides an industry-specific document library for those who conduct research.,180000,CAD,135972,Seed,"42,281",3,,https://boxofdocs.info/,Derrick Koenig
Manufactured,https://www.crunchbase.com/organization/manufactured,"Consumer Goods, Internet, Manufacturing, SaaS, Software, Supply Chain Management","Los Angeles, California, United States",vertical SaaS for contract manufacturing,130000,USD,130000,Seed,"26,258",4,https://www.linkedin.com/company/manufacturednet/,https://www.manufactured.com/,Pranay Srinivasan
crypto.tickets,https://www.crunchbase.com/organization/crypto-tickets,"Blockchain, Software","San Francisco, California, United States",Blockchain platform for ticketing systems and event organisers,130000,USD,130000,Seed,"57,944",1,https://www.linkedin.com/in/stevemachin,http://crypto.tickets,Katerina Kirillova
Propzie,https://www.crunchbase.com/organization/propzie-automating-your-short-term-rental,"Building Material, Hospitality, Property Management, Real Estate, Rental Property, SaaS, Software, Vacation Rental","Miami, Florida, United States","SaaS, full-service rental management platform for short-term investors and Airbnb",130000,USD,130000,Seed,"62,419",1,https://www.linkedin.com/company/propzie/,http://www.propzie.com,"Daniel Detoni, Felipe Hofstatter, Yari Carrizo"
Nouvre,https://www.crunchbase.com/organization/nouvre,"FinTech, Software","Monument, Colorado, United States",Nouvre is a software development agency serving businesses and individuals.,125000,USD,125000,Seed,"69,438",1,,https://nouvre.com,
Cue Intelligence,https://www.crunchbase.com/organization/cue-intelligence,"Contact Management, Information Technology, Software","Kennesaw, Georgia, United States",Cue Intelligence provides sales and service scripting software for conversational intelligence.,125000,USD,125000,Seed,"82,128",1,https://www.linkedin.com/company/itscue/,https://www.itscue.com/,
Prodigal Technologies,https://www.crunchbase.com/organization/prodigal-3824,"Finance, Financial Services, Software","Sunnyvale, California, United States",Prodigal provides software for lenders to improve how lenders work with borrowers.  ,120000,USD,120000,Seed,"27,377",1,https://www.linkedin.com/company/prodigaltech/,https://prodigaltech.com/,"Sangram Raje, Saransh Garg, Shantanu Gangal"
Workathlon,https://www.crunchbase.com/organization/workathlon,"Artificial Intelligence, Software","Athens, Attiki, Greece","Workathlon is an AI-powered hospitality recruitment solution to help companies find, nurture, and hire the very best talent.",120000,USD,120000,Seed,"35,338",2,https://www.linkedin.com/company/workathlon/?viewAsMember=true,http://www.workathlon.com,Katerina Santikou
RealAR,https://www.crunchbase.com/organization/realar,"3D Technology, Augmented Reality, Property Development, Real Estate, Software","Gold Coast, Queensland, Australia",RealAR is an augmented real estate app that helps buyers and sellers understand property plans as easy as physical spaces.,120000,USD,120000,Seed,"39,191",1,https://www.linkedin.com/company/realar/,http://realar.com,"Dan Swan, Keith Ahern"
Truvic Consulting Pvt. Ltd.,https://www.crunchbase.com/organization/crunchable,"Computer, E-Commerce, Information Technology, Software","Los Angeles, California, United States",Strategy Integrity Talent Results,120000,USD,120000,Seed,"58,768",1,https://www.linkedin.com/in/truvic-consulting/,http://truvicconsulting.com/,Yigael Berger
RagnaRock Geo,https://www.crunchbase.com/organization/ragnarock-geo,"Analytics, Artificial Intelligence, Data Visualization, Machine Learning, Software","Trondheim, Sor-Trondelag, Norway",RagnaRock Geo is an artificial intelligent software intended to interpret seismic data company.,120000,USD,120000,Seed,"64,577",1,https://www.linkedin.com/company/ragnarock-geo/,https://www.ragnarockgeo.com/,"Markus Halvorsen, Åsmund Heir"
Sia Soft,https://www.crunchbase.com/organization/sia-soft,"Computer, Software","Skopje, Karpos, Macedonia",Sia Soft provides Privacy by Design for sensitive end-to-end communications.,120000,USD,120000,Seed,"70,626",1,https://www.linkedin.com/company/sia-soft/,https://platform.sia.mk/,Mile Orešković
Weasel Labs,https://www.crunchbase.com/organization/weasel-labs,"Gaming, Software, Virtual Reality","New York, New York, United States",Weasel Labs develops an accessory that automatically adds wind to any VR game.,120000,USD,120000,Seed,"72,939",1,https://www.linkedin.com/company/weasel-labs/,http://zephvr.co,
Emojer,https://www.crunchbase.com/organization/emojer-san-francisco-california,"Apps, Digital Entertainment, Digital Media, Mobile Apps, Software","San Francisco, California, United States",Emojer enables its users to created animated emojis from their pictures.,120000,USD,120000,Seed,"77,965",1,https://www.linkedin.com/company/marionette-studio/,https://emojer.app/,"Adrian Pironescu, Bogdan Apostol, Raluca Apostol"
Panta Transportation,https://www.crunchbase.com/organization/panta-transportation,"Big Data, Mobile Payments, Public Transportation, Software","Sydney, New South Wales, Australia",Transforming public transport & mobility by developing the world's most affordable and accessible automated fare collection system,150000,AUD,112225,Seed,"67,083",1,https://www.linkedin.com/showcase/panta-transportation/?viewAsMember=true,https://www.pantatransportation.com,David Kahale
fees,https://www.crunchbase.com/organization/fees,"Apps, Finance, Financial Services, FinTech, Mobile, SaaS","Cremona, Emilia-Romagna, Italy",Fees is an innovative startup that provides an online expense management service through a mobile App for end-users and businesses worldwide,111500,USD,111500,Seed,"59,997",1,https://it.linkedin.com/company/fees-srl,https://www.fees.world/,"Matteo Mazzolari, Paolo Pavesi"
Dotphoton,https://www.crunchbase.com/organization/dotphoton,"Aerospace, Medical Device, Photography, Software, Video","Geneva, Geneve, Switzerland",Image compression for professional applications,100000,CHF,101409,Seed,"54,035",3,https://www.linkedin.com/company/11232102,http://www.dotphoton.com,"Bruno Sanguinetti, Eugenia Balysheva"
AreOne.com,https://www.crunchbase.com/organization/areone-com,"Banking, Financial Services, FinTech, Information Technology, Internet, Mobile Apps, Mobile Payments, Software","London, England, United Kingdom",Digital Only Mobile Payment Application,100000,CHF,100996,Seed,"52,420",3,,http://www.areone.com,"Sed S. Haddad, Søren Fog"
Open Packaging Network,https://www.crunchbase.com/organization/open-packaging-network,"B2B, Information Services, Information Technology, Packaging Services, Paper Manufacturing, Plastics and Rubber Manufacturing, Printing, Software","Zug, Zug, Switzerland","B2B Data-driven software based economic platform, transforming the global packaging industry in sustainable way.",100000,CHF,100463,Seed,"39,084",2,https://www.linkedin.com/company/openpackagingnetwork/,https://www.opnplatform.com/,Sergio Ciachir
BSAMPLY,https://www.crunchbase.com/organization/bsamply,"B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States",BSAMPLY is a B2B Sales Platform designed to make sales processes easier and faster. From research to purchase.,100000,USD,100000,Seed,"22,436",3,https://www.linkedin.com/company/bsamply/,https://bsamply.com/,"Andrea Fiume, Federico Bianchi"
"V One, Inc.",https://www.crunchbase.com/organization/not-boring-business-llc,"Information Technology, Internet, Software","Los Angeles, California, United States","The Easiest No Code Platform To Turns Designs Into Functional Apps Without Hiring a Dev Shop, Finding a CTO or Learning to Code.",100000,USD,100000,Seed,"25,390",2,,https://yourvone.com,Jeremy Redman
Cora,https://www.crunchbase.com/organization/cora-5bd7,"B2B, Furniture, Marketplace, SaaS, Sales Automation, Software","Chicago, Illinois, United States",Data-driven SaaS platform & marketplace for $77B B2B furnishings industry,100000,USD,100000,Seed,"43,215",1,https://www.linkedin.com/company/cora-home/,http://corahome.com,Sara Taylor-Demos
Seemba,https://www.crunchbase.com/organization/seemba-2,"Advertising, eSports, Mobile, Software, Video Games","Paris, Ile-de-France, France",Seemba is an esport solution for Gamers and Game Developers !,100000,USD,100000,Seed,"43,462",2,https://www.linkedin.com/company/seembaofficial/,http://www.seemba.com,"Geoffrey Umer, Slim Ben Nasrallah"
yieldPass,https://www.crunchbase.com/organization/yieldpass,"Advertising, SaaS, Software","Miami, Florida, United States",SaaS Adtech infrastructure for small & mid sized publishers.,100000,USD,100000,Seed,"44,576",1,https://www.linkedin.com/company/yieldpass/,https://www.yieldpass.com/,Sergio Aragón
ZOKRI,https://www.crunchbase.com/organization/zokri-app,"Apps, Marketing, SaaS, Sales, Software","Ashtead, Surrey, United Kingdom",ZOKRI is removing the friction out of business transformation and growth,100000,USD,100000,Seed,"44,681",1,https://www.linkedin.com/company/zokri/,https://zokri.com/,
Ovon Home,https://www.crunchbase.com/organization/ovon,"Energy, Energy Efficiency, Hardware, Information Technology, Internet of Things, Software","Manchester, Manchester, United Kingdom","We create stylish home automation, IoT devices that save energy and improve comfort. Globally active through Ovon Home and Ovon Technology.",100000,USD,100000,Seed,"45,851",3,https://www.linkedin.com/company/ovon,https://ovonhome.com,"Piotr Zarobkiewicz, Tom Timothy"
Pikme,https://www.crunchbase.com/organization/pikme,"Apps, Information Technology, Software","New York, New York, United States","Infinite scalability logistics & services framework for smart city. Blockchain infrastructure to host billions of bus, trams, trains & more.",100000,USD,100000,Seed,"45,894",2,https://www.linkedin.com/company/pikme/,https://www.pikme.io,Prabhat Kumar SINGH
MySpotit,https://www.crunchbase.com/organization/myspotit,Software,"Tallinn, Harjumaa, Estonia",MySpotit helps team leaders to create efficient offsite meetings. We started as a offsite booking platform and now we move on.,100000,USD,100000,Seed,"47,129",2,https://www.linkedin.com/company/myspotit/,https://myspotit.com,"Hardi Kinnas, Mikk Puurmann, Timo Mitt"
appScience,https://www.crunchbase.com/organization/appscience-technologies-inc,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Software","Colleyville, Texas, United States",Cloud and DevOps focused on business outcomes,100000,USD,100000,Seed,"50,058",1,,https://appScience.ai,
Cloudux,https://www.crunchbase.com/organization/cloudux,"Computer, Software","Milwaukee, Wisconsin, United States","Cloudux is a software platform that simplifies the creation, management and deployment of code in a multi-cloud environment.",100000,USD,100000,Seed,"55,964",1,https://www.linkedin.com/company/cloudux/,https://www.cloudux.io,Ante Grgić
FastDemocracy,https://www.crunchbase.com/organization/fastdemocracy,"CivicTech, GovTech, SaaS","St Louis, Missouri, United States",FastDemocracy platform empowers political newcomers and professionals to be more informed and effective while advocating for policy change.,100000,USD,100000,Seed,"57,608",1,https://www.linkedin.com/company/28839544/admin/,https://fastdemocracy.com/,
Wavelength Global,https://www.crunchbase.com/organization/wavelength-global-inc,"Artificial Intelligence, Automotive, Information Technology, Machine Learning, Software","Dublin, California, United States",Wavelength is an advanced AI solution company to improve safe driving of today and autonomous driving of tomorrow.,100000,USD,100000,Seed,"58,925",1,https://www.linkedin.com/company/wavelength-global/,https://www.wavelengthglobal.com/,Summer Fu
Jrop,https://www.crunchbase.com/organization/jrop,"Information Technology, Location Based Services, Ride Sharing, Smart Cities, Software, Transportation","Toronto, Ontario, Canada",We map staging areas i.e. pick up and drop off points to increase the efficiency of ride-sharing and AV shuttle providers.,100000,USD,100000,Seed,"67,433",1,https://www.linkedin.com/company/jrop-av/,http://www.jrop.co,Syed Saad Hasan
CSQ Holdings,https://www.crunchbase.com/organization/csq-holdings,"Blockchain, Business Intelligence, Predictive Analytics, Software","Los Angeles, California, United States",Owners of SynQ Suite and CryptoSyndicate,100000,USD,100000,Seed,"68,389",1,,https://synq.tech,Enrique Gutierrez
Guard Grabber Technologies Inc.,https://www.crunchbase.com/organization/guard-grabber-technologies-inc,"Apps, Mobile Apps, Physical Security, Real Time, Security, Software","Santa Barbara, California, United States",A Mobile App To List Or Hire On Demand Profesionals In Real Time.,100000,USD,100000,Seed,"70,608",1,https://www.linkedin.com/in/eugene-pulver-b47287133,https://www.guardgrabber.com/,Eugene Pulver
Sidis Health,https://www.crunchbase.com/organization/sidis-health,"Health Care, Information Technology, Software","Escondido, California, United States",Sidis Health is an autism community ecosystem providing social and therapy support to parents and industry-leading tech for clinics.,100000,USD,100000,Seed,"71,897",1,https://www.linkedin.com/company/critical-mass-technologies-inc/,https://www.sidishealth.com/,"Jeff Plowman, Michael Cook, Robert Pontello"
ZenYala,https://www.crunchbase.com/organization/zenyala,"Information Technology, Internet, Software","Austin, Texas, United States",ZenYala is a software that is called to turn meeting to a productive event and decrease the level of chaos as more as it is possible.,100000,USD,100000,Seed,"73,419",1,https://www.linkedin.com/company/zenyala/,http://zenyala.com/,
"BottleVin, Inc.",https://www.crunchbase.com/organization/bottlevin-inc,"Analytics, Computer, Marketing, Software","Santa Clara, California, United States","BottleVin is a connected mobile marketing solution, powered by analytics to drive sales and better ROI.",100000,USD,100000,Seed,"84,866",1,https://in.linkedin.com/company/bottlevin,https://www.bottlevin.com/,"Jason Driver, Paul Salcedo, Tuoc Luong"
Virtual Combine,https://www.crunchbase.com/organization/virtual-combine,"Brand Marketing, Software, Sports","Austin, Texas, United States",Virtual Combine is a showcase and branding company for athletes and teams.,100000,USD,100000,Seed,"85,601",1,https://www.linkedin.com/company/virtual-combine/,https://www.virtualcombine.com/,
EVRY,https://www.crunchbase.com/organization/evry-a7dc,"Collaboration, Enterprise Software, Gamification, Project Management, SaaS, Software, Task Management","Mexico City, Distrito Federal, Mexico",THE go-to app for project management and productivity optimization,95000,USD,95000,Seed,"82,939",1,https://www.linkedin.com/company/evry-app/,http://www.evryapp.io,Daniela Haddad
Lumaway,https://www.crunchbase.com/organization/statuszero,"Artificial Intelligence, Computer, Computer Vision, Software","Sydney, New South Wales, Australia","Lumaway is an AI powered skills tracking software. Provides businesses with workforce insights, and enables career pathing for employees",100000,AUD,80399,Seed,"48,906",1,https://www.linkedin.com/lumaway,https://www.lumaway.com,Alexander Tran
TytoAI,https://www.crunchbase.com/organization/tytoai,"Apps, Artificial Intelligence, Software","Sydney, New South Wales, Australia",TytoAI is an artificial intelligence product and consulting company that explores the new world of A.I. software and services.,100000,AUD,80399,Seed,"68,075",1,https://www.linkedin.com/company/tyto-ai/,https://tyto.ai/,Nick Lothian
YeApp OU,https://www.crunchbase.com/organization/yeapp-ou,"Information Technology, Internet, Software","Tallin, Harjumaa, Estonia","Next generation address book for you to find who you need,  with using location, occupation, name or profession.",80000,USD,80000,Seed,"88,311",2,,https://www.yeapp.net/,Murat Yakıcı
ClaimSpace,https://www.crunchbase.com/organization/myclaimmate,"Analytics, Insurance, InsurTech, SaaS","Sydney, New South Wales, Australia",The ClaimSpace SaaS enables enterprise clients to better collaborate with their customers and stakeholders at critical points of service.,100000,AUD,79564,Seed,"42,694",1,https://www.linkedin.com/company/18154635/admin/,http://www.claimspace.io,"Alfonso Marquez Vidal, Aurora Voss, Gilberto Spencer"
Level,https://www.crunchbase.com/organization/level-3dd7,"Information Technology, Messaging, Software","Toronto, Ontario, Canada","SaaS, Mobile App, Construction Technology",100000,CAD,76549,Seed,"49,703",1,https://www.linkedin.com/company/check-the-level/,https://checkthelevel.com/,Leeroy Beeby
