Organization Name,Organization Name URL,Industries,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors,Headquarters Location,Investment Stage
Pipra AG,https://www.crunchbase.com/organization/pipra-ag,"Health Care, Medical, Software",PIPRA is developing a cutting-edge AI-based pre-surgical tool to assess patients’ risk of suffering from cognitive impairment after surgery.,2000000,EUR,2236691,Seed,"360,499",1,https://www.linkedin.com/company/pipra-ag,http://www.pipra.ch,"Benjamin Dodsworth, John Klepper, Nayeli Schmutz, Susan Brändli",,6.9,EIT Health,"Zürich, Zurich, Switzerland",
Dockbit,https://www.crunchbase.com/organization/dockbit,"Developer Platform, Developer Tools, Enterprise Software, Software","Dockbit turns your software deployments into repeatable, manageable workflows. Bring your team together and ship better.",,,,Seed,"378,771",1,https://www.linkedin.com/company/Dockbit,https://dockbit.com/,"Ahmed ElGamil, Tair Assimov",,-0.7,NUMA Barcelona,"Barcelona, Catalonia, Spain",
Rubicore,https://www.crunchbase.com/organization/rubicore,"Human Resources, Software","At Rubicore, our mission is to enhance performance management by developing tools to monitor and evaluate core metrics.",,,,Seed,"425,410",1,https://www.linkedin.com/company/3577242?trk=tyah&trkInfo=idx%3A1-1-1%2CtarId%3A1425355926758%2Ctas%3Arubicore,http://www.rubicoredesigns.com,Nana Dooreck,,-0.6,,"Santa Monica, California, United States",
LIR,https://www.crunchbase.com/organization/lir,"Computer, Health Care, Hospital, Sensor, Software",LIR is a company offering a bladder fullness sensor for those struggling to manage their bladders.,,,,Seed,"433,125",1,,http://www.lirscientific.com,Jean Rintoul,,-0.4,"HAX, SOSV","San Francisco, California, United States",
CareerSofia,https://www.crunchbase.com/organization/careersofia,"SaaS, Sales",Knowledge Management for Sales Teams,,,,Seed,"437,415",1,https://www.linkedin.com/company/careersofia,http://www.careersofia.com,Josh Reback,,-0.5,,"San Francisco, California, United States",
Opz.io,https://www.crunchbase.com/organization/opz-io,"Analytics, Artificial Intelligence, Real Time, Software",Opz.io is an intelligent time tracking solution that provides real-time analytics and reporting to individuals and companies.,,,,Seed,"451,482",1,https://www.linkedin.com/company/11006499/,https://www.opz.io/,Lawrence Braun de Almeida,,-0.1,Startup Braga,"Faro, Faro, Portugal",
Meer,https://www.crunchbase.com/organization/meer,"Apps, Internet, Media and Entertainment, Social Media, Social Network, Software",Meer lets users enter their budget and receive getaway recommendations based on their social media profile.,,,,Seed,"481,525",1,https://www.linkedin.com/company/meer,http://www.trademeer.com,,,-0.3,Boomtown Accelerators,"Davis, California, United States",
Kiwi App,https://www.crunchbase.com/organization/kiwi-app,"Big Data, Consulting, CRM, Information Technology, Marketing, Software",Kiwi is a smart-assistant that helps clients grow their network and manage relationships.,,,,Seed,"490,221",1,,http://www.getkiwi.co,,,-0.5,,"New York, New York, United States",
The Wall,https://www.crunchbase.com/organization/the-wall-2,"Location Based Services, Mobile Apps, Software",The Wall is an application where users can pin moments to specific locations.,,,,Seed,"555,144",1,,http://thewallapp.com,,,-0.1,TEB Private Investor Society,"Istanbul, Istanbul, Turkey",
TrackCareNow,https://www.crunchbase.com/organization/trackcarenow,"Developer Tools, Enterprise Software, Service Industry, Software",TrackCareNow is a real time labor management software developed by nursing home owners.,,,,Seed,"582,916",1,,http://www.trackcarenow.com/,,,-0.2,BoomStartup,"Salt Lake City, Utah, United States",
SyncUI,https://www.crunchbase.com/organization/syncui,"Cloud Management, SaaS, Software, Test and Measurement",Blisk browser enables developers to create websites for multiple devices simultaneously. Make every web developer 200% more productive.,,,,Pre-Seed,"592,470",1,,http://syncui.com,,,-0.9,Startup Wise Guys,"Tallinn, Harjumaa, Estonia",
Aikicrypt,https://www.crunchbase.com/organization/aikicrypt,"Cloud Computing, Information Technology, Mobile, Mobile Apps, Software, Web Browsers",Mobile-friendly encryption for the cloud.,,,,Seed,"601,083",1,,http://www.aikicrypt.com/,"Alexey Gribov, Sergey Gorbunov",,-0.3,Dorm Room Fund,"Boston, Massachusetts, United States",
Line-Hop,https://www.crunchbase.com/organization/line-hop,"Financial Services, FinTech, Mobile, Mobile Apps, Mobile Payments, Software",Mobile Payment Solution for Events,,,,Seed,"705,701",1,,,Chee Jun Leong,,-1.3,,"Berlin, Berlin, Germany",
SpreadVision,https://www.crunchbase.com/organization/spreadvision,"Advertising, Internet, Marketing, Software","Internet company focusing on improving storytelling. We build creative products, ultimately driving actual business results.",,,,Seed,"800,187",1,https://www.linkedin.com/company/spreadvision,http://spreadvision.eu/,Arsenium Nicolae,,0.7,Arsenium Nicolae,"Ploiesti, Prahova, Romania",
Teambeat,https://www.crunchbase.com/organization/teambeat,Software,"Teambeat is online software that enables employers and employees to create, publish, and accept applications for vacation and shift plans.",,,,Seed,"960,568",2,,https://www.teambeat.eu/,,,-0.2,"High-Tech Grunderfonds, HR Ventures","Hamburg, Hamburg, Germany",
